title,year,group,genre
Private Benjamin,1980,Meyers,Drama
Irreconcilable Differences,1984,Meyers,Crime
Irreconcilable Differences,1984,Meyers,Drama
Irreconcilable Differences,1984,Meyers,Romance
Baby Boom,1987,Meyers,Comedy
Baby Boom,1987,Meyers,Drama
Baby Boom,1987,Meyers,Romance
Father of the Bride,1991,Meyers,Comedy
Father of the Bride,1991,Meyers,Family
Father of the Bride,1991,Meyers,Romance
I Love Trouble,1994,Meyers,Drama
The Parent Trap,1998,Meyers,Adventure
The Parent Trap,1998,Meyers,Comedy
The Parent Trap,1998,Meyers,Drama
What Women Want,2000,Meyers,Comedy
What Women Want,2000,Meyers,Fantasy
What Women Want,2000,Meyers,Romance
Something's Gotta Give,2003,Meyers,Comedy
Something's Gotta Give,2003,Meyers,Drama
Something's Gotta Give,2003,Meyers,Romance
The Holiday,2006,Meyers,Comedy
The Holiday,2006,Meyers,Romance
It's Complicated,2009,Meyers,Comedy
It's Complicated,2009,Meyers,Romance
The Intern,2015,Meyers,Drama
The Intern,2015,Meyers,Sci-Fi
The Intern,2015,Meyers,Thriller
Notting Hill,1999,Comparison,Comedy
Notting Hill,1999,Comparison,Drama
Notting Hill,1999,Comparison,Romance
Bridget Jones's Diary,2001,Comparison,Comedy
Bridget Jones's Diary,2001,Comparison,Drama
Bridget Jones's Diary,2001,Comparison,Romance
My Big Fat Greek Wedding,2002,Comparison,Comedy
My Big Fat Greek Wedding,2002,Comparison,Drama
My Big Fat Greek Wedding,2002,Comparison,Romance
How to Lose a Guy in 10 Days,2003,Comparison,Comedy
How to Lose a Guy in 10 Days,2003,Comparison,Drama
How to Lose a Guy in 10 Days,2003,Comparison,Romance
13 Going on 30,2004,Comparison,Comedy
13 Going on 30,2004,Comparison,Fantasy
13 Going on 30,2004,Comparison,Romance
Hitch,2005,Comparison,Comedy
Hitch,2005,Comparison,Romance
The Devil Wears Prada,2006,Comparison,Comedy
The Devil Wears Prada,2006,Comparison,Drama
Knocked Up,2007,Comparison,Comedy
Knocked Up,2007,Comparison,Romance
Mamma Mia!,2008,Comparison,Animation
Mamma Mia!,2008,Comparison,Adventure
Mamma Mia!,2008,Comparison,Comedy
The Proposal,2009,Comparison,Comedy
The Proposal,2009,Comparison,Drama
The Proposal,2009,Comparison,Romance
"Crazy, Stupid, Love",2011,Comparison,Comedy
"Crazy, Stupid, Love",2011,Comparison,Drama
"Crazy, Stupid, Love",2011,Comparison,Romance
About Time,2013,Comparison,Comedy
The Other Woman,2014,Comparison,Comedy
The Other Woman,2014,Comparison,Romance
