title,year,role
Private Benjamin,1980,Writer
Private Benjamin,1980,Producer
Irreconcilable Differences,1984,Writer
Irreconcilable Differences,1984,Producer
Baby Boom,1987,Writer
Baby Boom,1987,Producer
Father of the Bride,1991,Writer
Father of the Bride,1991,Producer
I Love Trouble,1994,Writer
I Love Trouble,1994,Producer
Father of the Bride Part II,1995,Writer
Father of the Bride Part II,1995,Director
Father of the Bride Part II,1995,Producer
The Parent Trap,1998,Writer
The Parent Trap,1998,Director
The Parent Trap,1998,Producer
What Women Want,2000,Director
What Women Want,2000,Producer
Something's Gotta Give,2003,Writer
Something's Gotta Give,2003,Director
Something's Gotta Give,2003,Producer
The Holiday,2006,Writer
The Holiday,2006,Director
The Holiday,2006,Producer
It's Complicated,2009,Writer
It's Complicated,2009,Director
It's Complicated,2009,Producer
The Intern,2015,Writer
The Intern,2015,Director
The Intern,2015,Producer
