wiki_slug,title,budget_usd,box_office_usd,opening_usd,distributor
Private_Benjamin,Private Benjamin,NA,NA,NA,NA
Irreconcilable_Differences_(film),Irreconcilable Differences,6000000,12400000,NA,Warner Bros.
Baby_Boom_(film),Baby Boom,15000000,26000000,NA,MGM/UA Communications Co.
Father_of_the_Bride_(1991_film),Father of the Bride,20000000,129000000,NA,Buena Vista Pictures Distribution
I_Love_Trouble,I Love Trouble,NA,NA,NA,NA
Father_of_the_Bride_Part_II,Father of the Bride Part II,40000000,103000000,NA,Buena Vista Pictures Distribution
The_Parent_Trap_(1998_film),The Parent Trap,15000000,92100000,NA,Buena Vista Pictures Distribution
NA,NA,NA,NA,NA,NA
Something%27s_Gotta_Give_(film),Something's Gotta Give,80000000,266700000,NA,"Sony Pictures Releasing (United States and Canada)
Warner Bros. Pictures (International)"
The_Holiday,The Holiday,85000000,205800000,NA,"Sony Pictures Releasing
(United States and Canada)
United International Pictures
(international)"
It%27s_Complicated_(film),It's Complicated,75000000,219100000,NA,Universal Pictures
The_Intern_(2015_film),The Intern,35000000,195800000,NA,Warner Bros. Pictures
Notting_Hill_(film),Notting Hill,42000000,364000000,NA,"Universal Pictures (Select territories)
PolyGram Filmed Entertainment (International)"
Bridget_Jones%27s_Diary_(film),Bridget Jones's Diary,25000000,282000000,NA,"Miramax Films (United States)
Mars Distribution (France)
United International Pictures (international)"
My_Big_Fat_Greek_Wedding,My Big Fat Greek Wedding,5000000,368700000,NA,"IFC Films (United States)
Equinox Films (Canada)"
NA,NA,NA,NA,NA,NA
13_Going_on_30,13 Going on 30,37000000,96000000,NA,Sony Pictures Releasing
Hitch_(film),Hitch,55000000,371500000,NA,Sony Pictures Releasing
The_Devil_Wears_Prada_(film),The Devil Wears Prada,35000000,326700000,NA,20th Century Fox
Knocked_Up,Knocked Up,25000000,219900000,NA,Universal Pictures
Mamma_Mia!_(film),Mamma Mia!,52000000,706400000,NA,Universal Pictures
The_Proposal_(2009_film),The Proposal,40000000,317400000,NA,Walt Disney StudiosMotion Pictures
"Crazy,_Stupid,_Love.","Crazy, Stupid, Love",50000000,145000000,NA,Warner Bros. Pictures
About_Time_(film),About Time,NA,NA,NA,NA
The_Other_Woman_(2014_film),The Other Woman,40000000,196700000,NA,20th Century Fox[2]
Trainwreck_(film),Trainwreck,35000000,140800000,NA,Universal Pictures
